adm1,umd_tree_cover_loss__year,umd_tree_cover_loss__ha
Melaka,2011,3157.07257365625883352
Negeri Sembilan,2011,15887.77149461430402782
Pahang,2011,57724.44447828233396908
Perak,2011,21466.06144992386598137
Perlis,2011,396.37485115724086423
Pulau Pinang,2011,579.71092520536043434
Putrajaya,2011,19.6702921774102201
Sabah,2011,68464.32333285326634764
Sarawak,2011,191238.67188207727902071
Selangor,2011,3685.92146014251007805
Terengganu,2011,12267.49183565280744267
Johor,2012,38805.24385942987922388
Kedah,2012,8920.88435741040857384
Kelantan,2012,35189.78350801307060212
Kuala Lumpur,2012,53.00795326284637792
Labuan,2012,119.36042617985009886
Melaka,2012,2548.38188582009390680
Negeri Sembilan,2012,24582.93346521385430499
Pahang,2012,93638.65133094789624769
Perak,2012,25397.43115787271627990
Perlis,2012,637.02788853168644013
Pulau Pinang,2012,672.01242781942611645
Putrajaya,2012,12.90858867710408688
Sabah,2012,104650.12955002835905523
Sarawak,2012,268502.78923624237246656
Selangor,2012,7759.50298036465605043
Terengganu,2012,16893.23157330197991069
Johor,2013,24984.69975208846133136
Kedah,2013,7335.54039135327204047
Kelantan,2013,16593.89078930768775696
Kuala Lumpur,2013,1.61323660250583235
Labuan,2013,17.3903041391525362
Melaka,2013,1403.80092793318626886
Negeri Sembilan,2013,10914.65503499601929106
Pahang,2013,42558.24803179584942629
Perak,2013,17761.36463854949179699
Perlis,2013,372.91089232764485303
Pulau Pinang,2013,354.82134363491896500
Putrajaya,2013,6.53113490065565448
Sabah,2013,65539.72291401854642439
Sarawak,2013,128694.51545797185823839
Selangor,2013,3549.12435550853684206
Terengganu,2013,13272.73828041201555109
Johor,2014,49796.94468856387480029
Kedah,2014,15644.40995798233960115
Kelantan,2014,38713.92534021875205155
Kuala Lumpur,2014,55.31249981865947985
Labuan,2014,70.94090619487055174
Melaka,2014,5024.26500152752783507
Negeri Sembilan,2014,18280.92749303820634500
Pahang,2014,86751.95147828916524015
Perak,2014,33900.31840226808906419
Perlis,2014,508.71582585491199588
Pulau Pinang,2014,826.90185990744807553
Putrajaya,2014,22.66680992608141054
Sabah,2014,137521.25598400662391194
Sarawak,2014,229051.22097934531296769
Selangor,2014,13558.34252588517647549
Terengganu,2014,16298.85473643975523937
Johor,2015,31797.32539305723555666
Kedah,2015,13411.42749280277693762
Kelantan,2015,24416.49164632888355715
Kuala Lumpur,2015,31.49655633661334072
Labuan,2015,79.36853132355056916
Melaka,2015,3120.45269635637228973
Negeri Sembilan,2015,10458.94021630796112150
Pahang,2015,62751.13899156684622482
Perak,2015,23935.47181155987205969
Perlis,2015,258.29191789919346286
Pulau Pinang,2015,491.42084340973792186
Putrajaya,2015,25.81708841171617892
Sabah,2015,106917.41880327442710634
Sarawak,2015,156136.71031435141958992
Selangor,2015,5913.73312059548071778
Terengganu,2015,14745.31758953670040996
Johor,2016,45063.94374250312870512
Kedah,2016,14905.69625992876150554
Kelantan,2016,27173.93943692243922215
Kuala Lumpur,2016,43.48010754125716898
Labuan,2016,119.50887531500655891
Melaka,2016,5324.09550950389355541
Negeri Sembilan,2016,16639.77619429383582791
Pahang,2016,99966.76677005224208250
Perak,2016,32983.12221926655005713
Perlis,2016,714.37649702740621028
Pulau Pinang,2016,726.23190707907895735
Putrajaya,2016,54.55388475550009029
Sabah,2016,113067.50847853917469667
Sarawak,2016,178749.86513084575736658
Selangor,2016,10237.56477233575325234
Terengganu,2016,19782.68066233723454442
Johor,2017,44063.88983607782398051
Kedah,2017,16050.68710006775905012
Kelantan,2017,20603.60253394355874494
Kuala Lumpur,2017,103.40464433306683224
Labuan,2017,36.84957944092746243
Melaka,2017,4385.56782865056657204
Negeri Sembilan,2017,13601.30829349730114046
Pahang,2017,71776.82826992197097725
Perak,2017,30468.47522369577879587
Perlis,2017,556.08167870995900414
Pulau Pinang,2017,641.33120654557787103
Putrajaya,2017,45.71767076382163774
Sabah,2017,88766.27146909668162526
Sarawak,2017,164696.34650870754474789
Selangor,2017,9572.41278817860723477
Terengganu,2017,18130.43323452251619578
Johor,2018,32737.30659311970258140
Kedah,2018,13978.70325158867701975
Kelantan,2018,23472.21729733601734771
Kuala Lumpur,2018,62.45405771978160899
Labuan,2018,28.11623175208851560
Melaka,2018,3933.12316869068523121
Negeri Sembilan,2018,10539.54453539717296383
Pahang,2018,59869.94173717098651133
Perak,2018,22952.98163734151266589
Perlis,2018,393.58760189147885241
Pulau Pinang,2018,457.13316456140832352
Putrajaya,2018,40.49251857307291635
Sabah,2018,92708.40219894680507123
Sarawak,2018,151382.97561225992225825
Selangor,2018,9035.98048779833185610
Terengganu,2018,16416.49496837218249765
Johor,2019,30412.50761780297567483
Kedah,2019,11719.82116161896389216
Kelantan,2019,26951.98050019889109744
Kuala Lumpur,2019,29.26850044081417848
Labuan,2019,21.68029089622423554
Melaka,2019,3816.80041423291092764
Negeri Sembilan,2019,9672.25884257425187648
Pahang,2019,56670.88455836144351090
Perak,2019,22414.05870101077060242
Perlis,2019,1151.02559010493932110
Pulau Pinang,2019,462.80259615890580868
Putrajaya,2019,54.70756313453179816
Sabah,2019,90613.10267983836118231
Sarawak,2019,118413.71766884628445239
Selangor,2019,8603.58287722500288607
Terengganu,2019,14396.38475226588189846
Johor,2020,22594.26646744188131016
Kedah,2020,8724.83475462656873510
Kelantan,2020,15747.65543547837980924
Kuala Lumpur,2020,11.29274196209120729
Labuan,2020,32.71184727352837664
Melaka,2020,2812.35394988990179544
Negeri Sembilan,2020,6490.96147888075965150
Pahang,2020,40947.84261575392551302
Perak,2020,15674.81409107637980409
Perlis,2020,704.24784079935977953
Pulau Pinang,2020,449.67944120745790389
Putrajaya,2020,23.9729467053384110
Sabah,2020,68313.24295094878085020
Sarawak,2020,72370.44505905096849445
Selangor,2020,4700.12524504388051887
Terengganu,2020,9176.60146952141351997
Johor,2021,21402.76565149725173233
Kedah,2021,7429.73128948692926496
Kelantan,2021,18511.51119396474423922
Kuala Lumpur,2021,14.59556141800483294
Labuan,2021,28.72860548692899481
Melaka,2021,2756.16328335717771048
Negeri Sembilan,2021,6086.21133282087267438
Pahang,2021,43939.60082941073564744
Perak,2021,19237.54995238360880183
Perlis,2021,217.17618676837517851
Pulau Pinang,2021,481.01892834356637136
Putrajaya,2021,31.34938308583972173
Sabah,2021,66593.19410211901746948
Sarawak,2021,72720.55352374373940792
Selangor,2021,7672.51270884143993251
Terengganu,2021,10474.65197078036906742
Johor,2022,15783.00910100589701906
Kedah,2022,5634.21316705765792910
Kelantan,2022,16883.82928169946697722
Kuala Lumpur,2022,8.21974096370524121
Labuan,2022,37.53800176295464315
Melaka,2022,1695.06250939252383095
Negeri Sembilan,2022,5008.24364767265652095
Pahang,2022,34213.74000915473173892
